2;1;Timeline Photos;Governors Ball at the White House this evening was wonderful!;photo;4729;2017-02-27T04:38:42+0000
3;1;Fox News Sunday;Thank you for joining me right here on Facebook, Twitter and Instagram- as the #TrumpTrain approaches 100 MILLION- with additional social media platforms being introduced in the near future.;video;3;2017-02-27T02:59:30+0000
4;1;Instagram post by Donald J. Trump • Feb 27, 2017 at 1:35am UTC;Thank you Donald Trump Jr. - proud of you!;link;2356;2017-02-27T01:36:21+0000
5;1;Timeline Photos;THE AMERICAN DREAM IS BACK.....;photo;6970;2017-02-26T23:51:30+0000
6;1;;Russia talk is FAKE NEWS put out by the Dems, and played up by the media, in order to mask the big election defeat and the illegal leaks!;status;4955;2017-02-26T18:45:52+0000
7;1;The White House;Join me for my Weekly Address at the White House!;video;4;2017-02-26T16:12:41+0000
8;1;;"The race for DNC Chairman was, of course, totally ""rigged."" Bernie's guy, like Bernie himself, never had a chance. Clinton demanded Perez!";status;1816;2017-02-26T14:35:11+0000
9;1;Instagram post by Donald J. Trump • Feb 25, 2017 at 11:23pm UTC;I will not be attending the White House Correspondents' Association Dinner this year. Please wish everyone well and have a great evening!;link;6049;2017-02-25T23:27:37+0000
10;1;Timeline Photos;As long as we have faith in each other and trust in God, then there is no goal at all beyond our reach.;photo;39107;2017-02-25T18:00:50+0000
11;1;Timeline Photos;We are going to MAKE AMERICA SAFE AND GREAT AGAIN!;photo;5023;2017-02-25T16:00:07+0000
12;1;Timeline Photos;GREAT meeting with Manufacturing CEOs at the White House this past week. The three most powerful words in every market, in every corner of the globe -- will be back again in no time...MADE IN USA!;photo;10366;2017-02-25T14:00:21+0000
13;1;;Maybe the millions of people who voted to MAKE AMERICA GREAT AGAIN should have their own rally. It would be the biggest of them all!;status;10061;2017-02-25T13:15:22+0000
14;1;;Thank you Conservative Political Action Conference (CPAC)!;video;2231;2017-02-24T23:39:57+0000
15;1;Timeline Photos;This afternoon I signed an executive order to establish task forces that will help scrap job-killing regulations on American businesses.;photo;5142;2017-02-24T19:08:29+0000
16;1;Trump vows to fight 'epidemic' of human trafficking;TRUMP VOWS TO FIGHT 'EPIDEMIC' OF HUMAN TRAFFICKING;link;7509;2017-02-24T17:15:20+0000
17;1;S&P 500 Edges Higher After Trump Renews Jobs Pledge;S&P 500 Edges Higher After Trump Renews Jobs Pledge';link;2049;2017-02-24T17:00:35+0000
18;1;;"Where the White House doors used to be closed, they are now wide open – open for the People’s Business. But, most importantly, we are translating these meetings into action. One by one, we are checking off the promises we made to the people of the United States. And we will not stop until the job is done.✔️We will reduce taxes.✔️We will cut regulations.✔️We will support our police.✔️We will defend our flag.✔️We will rebuild our military.✔️We will take care of our Veterans.✔️We will fix our trade deals.✔️We will cut wasteful spending.✔️We will promote our values.✔️We will rebuild our inner cities.✔️And we will bring back our jobs and our dreams.The forgotten men and women of America will be forgotten no longer. That is the heart of this new movement – and the future of the Republican Party. The GOP will be the party of the American Worker. We will not answer to donors or lobbyists or special interests – but we will serve the citizens of the United States of America. Global cooperation is important.  But there is no such thing as a global anthem, a global currency, or a global flag. There is one allegiance that unites us all, and that is our allegiance to America. No matter our background, or income, or geography – we are all citizens of this blessed land. And no matter our color, we all bleed the same red blood of patriots. We all salute the same American Flag. And we are all made equal by the same Almighty God. As long as we have faith in each other, and trust in God, then there is no goal beyond our reach. There is no dream too large, no task too great. We are Americans.  And the future belongs to us. The future belongs to all of you. And America is about to come roaring back – Bigger and Better and Stronger than ever before. Thank you, God Bless You, and God Bless the United States of America.";status;25753;2017-02-24T16:53:45+0000
19;1;;We inherited a national debt that has doubled in eight years. We inherited a foreign policy marked by one disaster after another. But we are taking firm, bold and decisive measures to turn it all around. The era of empty talk is over. Now is the time for action. So let me tell you about the actions we are taking right now to deliver on our promises to the American People.;status;3852;2017-02-24T16:47:27+0000
20;1;Timeline Photos;"We are also putting in a massive budget request for the military, and we will be substantially upgrading all of our defenses. It will be one of the greatest military buildups in American history. No one will dare to question our military might. We believe in Peace Through Strength. As part of my pledge to restore safety for the American People, I have also directed the Defense Community to develop a plan to destroy ISIS. Working with our allies, we will eradicate this evil from the face of the Earth. At the same time, we understand that national security begins with border security.  Foreign terrorists will not be able to strike America if they cannot get into America. So let me state this as clearly as I can: we are going to keep Radical Islamic Terrorists out of our country. We will not be deterred from this course. And, in a matter of days, we will be taking brand new action to protect our people and keep America Safe. I will never, ever apologize for protecting the safety and security of the American People.";photo;7234;2017-02-24T16:44:20+0000
21;1;;"We are going to massively lower taxes on the middle class, reduce taxes on American business, and make our tax code more simple and fair for everyone. In anticipation of these and other changes, jobs are already starting to pour back into our country.  Ford, Fiat Chrysler, General Motors, Sprint, Intel and so many others are making major investments in the United States – expanding production, hiring more workers. It is time to get Americans off of welfare and back to work.";status;21574;2017-02-24T16:35:52+0000
22;1;;‪We are preparing to #RepealAndReplace the disaster known as #Obamacare – we are going to save Americans from this crisis, and give them the access to the quality healthcare they deserve!;status;3719;2017-02-24T16:34:22+0000
23;1;Timeline Photos;Our victory was a win for every hardworking citizen in this country who believes in freedom, security and the rule of law. Our victory was a win for conservative values. And our victory was a win for everyone who believes it is time to stand up for America, to stand up for the American Worker, and to stand up for the American Flag. We are all part of this historic movement – a movement the likes of which the world has never seen before!;photo;2275;2017-02-24T16:29:52+0000
